[msg] WM_MOUSEMOVE client=(1173,605)
[msg] WM_MOUSEMOVE client=(892,569)
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
[trace] mouse=(892,569) valid=1 click=0 release=0 down=0
